,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1474,195,Service,New Prospect,731485173.0,2,0.5000000000000003,0.25881904510252074,-0.4999999999999997,-1.8369701987210297e-16,1.0,0.866025403784439
1487,117,Service,Existing Customer Prospect,1054851120.0,2,0.9659258262890683,0.0,0.258819045102521,-1.0,0.8660254037844387,0.49999999999999933
1522,258,Sales,New Prospect,733158841.0,1,0.5000000000000003,0.25881904510252074,-0.7071067811865471,-1.8369701987210297e-16,1.0,0.5000000000000004
1524,257,Current Customer,Current Customer,724315732.0,2,0.7071067811865476,0.25881904510252074,-2.4492935982947064e-16,-0.5000000000000004,1.0,0.8660254037844378
1530,106,Service,New Prospect,1061029904.0,2,1.0,0.25881904510252074,0.5000000000000003,-0.8660254037844385,1.0,-1.8369701987210297e-16
1537,255,Service,Existing Customer Prospect,703275545.0,0,0.9659258262890683,0.49999999999999994,0.9659258262890683,-1.0,0.8660254037844387,-1.0
1562,149,Service,New Prospect,1057804238.0,0,0.9659258262890683,0.8660254037844386,-0.9659258262890681,-1.0,6.123233995736766e-17,-0.4999999999999992
1587,109,Service,Existing Customer Prospect,1057605756.0,0,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1612,77,Service,New Prospect,704213382.0,0,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1641,253,Sales,New Prospect,704901787.0,2,0.9659258262890683,0.49999999999999994,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1643,252,Service,Existing Customer Prospect,747457303.0,0,1.2246467991473532e-16,0.0,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933
1670,252,Service,Existing Customer Prospect,1076833447.0,0,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004
1711,138,Service,New Prospect,685072425.0,0,0.8660254037844386,0.49999999999999994,0.9659258262890683,6.123233995736766e-17,0.8660254037844387,-1.0
1718,52,Service,Answering Service/Call Center,689925447.0,1,0.9659258262890682,0.25881904510252074,-0.9659258262890681,-0.4999999999999998,1.0,-0.4999999999999992
1723,246,Service,Existing Customer Prospect,725140547.0,0,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
1768,147,Service,Existing Customer Prospect,727950526.0,0,0.5000000000000003,0.25881904510252074,-0.7071067811865471,-1.8369701987210297e-16,1.0,0.5000000000000004
1813,245,Service,New Prospect,1075521815.0,1,0.7071067811865476,0.0,-0.7071067811865471,0.5000000000000001,0.8660254037844387,0.5000000000000004
1835,241,Service,New Prospect,1076415935.0,2,0.7071067811865476,0.49999999999999994,0.9659258262890683,0.5000000000000001,0.8660254037844387,-1.0
1846,127,Service,New Prospect,678398503.0,2,0.7071067811865476,0.25881904510252074,-0.9659258262890684,0.5000000000000001,1.0,-1.0
1858,238,Current Customer,Current Customer,733612984.0,1,0.258819045102521,0.7071067811865476,-2.4492935982947064e-16,0.49999999999999933,0.5000000000000001,0.8660254037844378
1863,110,Sales,Existing Customer Prospect,1035795286.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
1868,238,Current Customer,Current Customer,1064290759.0,0,0.9659258262890682,0.7071067811865476,0.258819045102521,-0.4999999999999998,0.5000000000000001,0.49999999999999933
1870,237,Service,Existing Customer Prospect,1082753538.0,0,0.49999999999999994,0.25881904510252074,-0.25881904510252035,0.8660254037844387,1.0,1.0
1881,229,Service,New Prospect,1073626570.0,0,0.8660254037844386,0.8660254037844386,0.7071067811865476,6.123233995736766e-17,6.123233995736766e-17,-0.5000000000000004
1884,228,Service,Existing Customer Prospect,734719905.0,1,0.258819045102521,0.25881904510252074,0.5000000000000003,0.49999999999999933,1.0,-1.8369701987210297e-16
1938,226,Service,Existing Customer Prospect,1036383936.0,0,0.258819045102521,0.25881904510252074,-0.4999999999999997,0.49999999999999933,1.0,0.866025403784439
1994,190,Current Customer,Current Customer,744276701.0,1,1.2246467991473532e-16,0.0,0.5000000000000003,0.8660254037844384,0.8660254037844387,-1.8369701987210297e-16
