,Duration,Type,Call Status,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1625,105,Current Customer,Current Customer,717776187.0,1,0.8660254037844387,0.7071067811865476,0.7071067811865476,-0.8660254037844388,0.5000000000000001,-0.5000000000000004
1648,74,Current Customer,Current Customer,1048148872.0,1,0.8660254037844387,0.49999999999999994,-0.7071067811865471,-0.8660254037844388,0.8660254037844387,0.5000000000000004
1670,950,Service,Existing Customer Prospect,1048156032.0,0,0.8660254037844387,0.49999999999999994,-0.7071067811865471,-0.8660254037844388,0.8660254037844387,0.5000000000000004
1691,108,Sales,New Prospect,1084774758.0,0,0.49999999999999994,0.7071067811865476,0.7071067811865476,0.8660254037844387,0.5000000000000001,-0.5000000000000004
1712,281,Service,New Prospect,717515216.0,0,0.8660254037844387,0.49999999999999994,0.258819045102521,-0.8660254037844388,0.8660254037844387,0.49999999999999933
1713,246,Service,New Prospect,1048648721.0,0,0.8660254037844387,0.0,-0.25881904510252035,-0.8660254037844388,0.8660254037844387,1.0
1714,82,Service,New Prospect,716038010.0,0,0.8660254037844387,0.7071067811865476,-2.4492935982947064e-16,-0.8660254037844388,0.5000000000000001,0.8660254037844378
1715,388,Service,New Prospect,1049270265.0,0,0.8660254037844387,0.7071067811865476,0.5000000000000003,-0.8660254037844388,0.5000000000000001,-1.8369701987210297e-16
1716,279,Service,New Prospect,1048409427.0,0,0.8660254037844387,0.25881904510252074,-0.25881904510252035,-0.8660254037844388,1.0,1.0
1721,82,Service,New Prospect,1061450334.0,0,1.0,0.9659258262890682,0.8660254037844387,-0.8660254037844385,-0.4999999999999998,-0.8660254037844388
1726,306,Service,New Prospect,1049156707.0,1,0.8660254037844387,0.7071067811865476,-0.8660254037844385,-0.8660254037844388,0.5000000000000001,1.1943401194869635e-15
1735,134,Service,New Prospect,713234719.0,0,0.8660254037844387,0.0,0.258819045102521,-0.8660254037844388,0.8660254037844387,0.49999999999999933
1757,177,Service,New Prospect,1051526779.0,1,0.8660254037844387,0.8660254037844386,0.5000000000000003,-0.8660254037844388,6.123233995736766e-17,-1.8369701987210297e-16
1780,217,Service,Existing Customer Prospect,1051766005.0,0,0.8660254037844387,0.7071067811865476,0.9659258262890683,-0.8660254037844388,0.5000000000000001,-1.0
1791,85,Hang-ups,Hang-up,710832369.0,0,0.8660254037844387,0.8660254037844386,0.8660254037844387,-0.8660254037844388,6.123233995736766e-17,-0.8660254037844388
1803,98,Service,Answering Service/Call Center,664539683.0,0,0.25881904510252074,1.0,0.5000000000000003,1.0,-0.8660254037844385,-1.8369701987210297e-16
1816,600,Service,New Prospect,1052884954.0,0,0.8660254037844387,0.7071067811865476,-2.4492935982947064e-16,-0.8660254037844388,0.5000000000000001,0.8660254037844378
1818,88,Service,New Prospect,710613563.0,0,0.8660254037844387,0.7071067811865476,-2.4492935982947064e-16,-0.8660254037844388,0.5000000000000001,0.8660254037844378
1827,134,Service,Existing Customer Prospect,710293474.0,1,0.8660254037844387,0.49999999999999994,0.258819045102521,-0.8660254037844388,0.8660254037844387,0.49999999999999933
1833,156,Service,Existing Customer Prospect,706490920.0,1,0.9659258262890683,0.25881904510252074,0.5000000000000003,-1.0,1.0,-1.8369701987210297e-16
1839,180,Service,Existing Customer Prospect,693335317.0,1,0.9659258262890682,0.49999999999999994,-0.25881904510252035,-0.4999999999999998,0.8660254037844387,1.0
1845,315,Service,New Prospect,693223565.0,1,0.9659258262890682,0.49999999999999994,0.7071067811865476,-0.4999999999999998,0.8660254037844387,-0.5000000000000004
1852,337,Service,New Prospect,1053458089.0,0,0.9659258262890683,0.0,-0.8660254037844385,-1.0,0.8660254037844387,1.1943401194869635e-15
1855,165,Service,Existing Customer Prospect,709575519.0,1,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1874,315,Service,New Prospect,708934422.0,1,0.9659258262890683,0.7071067811865476,-0.25881904510252035,-1.0,0.5000000000000001,1.0
1876,59,Service,New Prospect,1054410720.0,1,0.9659258262890683,0.49999999999999994,0.7071067811865476,-1.0,0.8660254037844387,-0.5000000000000004
1878,316,Service,Existing Customer Prospect,708232806.0,0,0.9659258262890683,0.25881904510252074,0.7071067811865476,-1.0,1.0,-0.5000000000000004
1883,167,Service,Existing Customer Prospect,705472052.0,0,0.9659258262890683,0.7071067811865476,-0.4999999999999997,-1.0,0.5000000000000001,0.866025403784439
1888,127,Service,Existing Customer Prospect,693294291.0,0,0.9659258262890682,0.49999999999999994,-2.4492935982947064e-16,-0.4999999999999998,0.8660254037844387,0.8660254037844378
1895,76,Current Customer,Current Customer,706146243.0,0,0.9659258262890683,0.0,0.5000000000000003,-1.0,0.8660254037844387,-1.8369701987210297e-16
1898,108,Current Customer,Current Customer,705736986.0,1,0.9659258262890683,0.8660254037844386,-0.25881904510252035,-1.0,6.123233995736766e-17,1.0
1900,143,Sales,New Prospect,705735897.0,0,0.9659258262890683,0.8660254037844386,-0.25881904510252035,-1.0,6.123233995736766e-17,1.0
1903,199,Sales,Existing Customer Prospect,1056997339.0,0,0.9659258262890683,0.49999999999999994,-0.25881904510252035,-1.0,0.8660254037844387,1.0
1906,253,Sales,New Prospect,704901787.0,0,0.9659258262890683,0.49999999999999994,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1914,165,Service,Existing Customer Prospect,704214586.0,1,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1920,77,Service,New Prospect,704213382.0,1,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
